"sobrev" "classe" "genero" "idade" "tarifa" "porto"
"110" 1 "3a" "feminino" NA 24.15 "Q"
"111" 0 "1a" "masculino" 47 52 "S"
"112" 0 "3a" "feminino" 14 14.4542 "C"
"113" 0 "3a" "masculino" 22 8.05 "S"
"114" 0 "3a" "feminino" 20 9.825 "S"
"115" 0 "3a" "feminino" 17 14.4583 "C"
"116" 0 "3a" "masculino" 21 7.925 "S"
"117" 0 "3a" "masculino" 70 7.75 "Q"
"118" 0 "2a" "masculino" 29 21 "S"
"119" 0 "1a" "masculino" 24 247.5208 "C"
"120" 0 "3a" "feminino" 2 31.275 "S"
"121" 0 "2a" "masculino" 21 73.5 "S"
"122" 0 "3a" "masculino" NA 8.05 "S"
"123" 0 "2a" "masculino" 32 30.0708 "C"
"124" 1 "2a" "feminino" 32 13 "S"
"125" 0 "1a" "masculino" 54 77.2875 "S"
"126" 1 "3a" "masculino" 12 11.2417 "C"
"127" 0 "3a" "masculino" NA 7.75 "Q"
"128" 1 "3a" "masculino" 24 7.1417 "S"
"129" 1 "3a" "feminino" NA 22.3583 "C"
"130" 0 "3a" "masculino" 45 6.975 "S"
"131" 0 "3a" "masculino" 33 7.8958 "C"
"132" 0 "3a" "masculino" 20 7.05 "S"
"133" 0 "3a" "feminino" 47 14.5 "S"
"134" 1 "2a" "feminino" 29 26 "S"
"135" 0 "2a" "masculino" 25 13 "S"
"136" 0 "2a" "masculino" 23 15.0458 "C"
"137" 1 "1a" "feminino" 19 26.2833 "S"
"138" 0 "1a" "masculino" 37 53.1 "S"
"139" 0 "3a" "masculino" 16 9.2167 "S"
"140" 0 "1a" "masculino" 24 79.2 "C"
"141" 0 "3a" "feminino" NA 15.2458 "C"
"142" 1 "3a" "feminino" 22 7.75 "S"
"143" 1 "3a" "feminino" 24 15.85 "S"
"144" 0 "3a" "masculino" 19 6.75 "Q"
"145" 0 "2a" "masculino" 18 11.5 "S"
"146" 0 "2a" "masculino" 19 36.75 "S"
"147" 1 "3a" "masculino" 27 7.7958 "S"
"148" 0 "3a" "feminino" 9 34.375 "S"
"149" 0 "2a" "masculino" 36 26 "S"
"150" 0 "2a" "masculino" 42 13 "S"
"151" 0 "2a" "masculino" 51 12.525 "S"
"152" 1 "1a" "feminino" 22 66.6 "S"
"153" 0 "3a" "masculino" 55 8.05 "S"
"154" 0 "3a" "masculino" 40 14.5 "S"
"155" 0 "3a" "masculino" NA 7.3125 "S"
"156" 0 "1a" "masculino" 51 61.3792 "C"
"157" 1 "3a" "feminino" 16 7.7333 "Q"
"158" 0 "3a" "masculino" 30 8.05 "S"
"159" 0 "3a" "masculino" NA 8.6625 "S"
"160" 0 "3a" "masculino" NA 69.55 "S"
"161" 0 "3a" "masculino" 44 16.1 "S"
"162" 1 "2a" "feminino" 40 15.75 "S"
"163" 0 "3a" "masculino" 26 7.775 "S"
"164" 0 "3a" "masculino" 17 8.6625 "S"
"165" 0 "3a" "masculino" 1 39.6875 "S"
"166" 1 "3a" "masculino" 9 20.525 "S"
"167" 1 "1a" "feminino" NA 55 "S"
"168" 0 "3a" "feminino" 45 27.9 "S"
"169" 0 "1a" "masculino" NA 25.925 "S"
"170" 0 "3a" "masculino" 28 56.4958 "S"
"171" 0 "1a" "masculino" 61 33.5 "S"
"172" 0 "3a" "masculino" 4 29.125 "Q"
"173" 1 "3a" "feminino" 1 11.1333 "S"
"174" 0 "3a" "masculino" 21 7.925 "S"
"175" 0 "1a" "masculino" 56 30.6958 "C"
"176" 0 "3a" "masculino" 18 7.8542 "S"
"177" 0 "3a" "masculino" NA 25.4667 "S"
"178" 0 "1a" "feminino" 50 28.7125 "C"
"179" 0 "2a" "masculino" 30 13 "S"
"180" 0 "3a" "masculino" 36 0 "S"
"181" 0 "3a" "feminino" NA 69.55 "S"
"182" 0 "2a" "masculino" NA 15.05 "C"
"183" 0 "3a" "masculino" 9 31.3875 "S"
"184" 1 "2a" "masculino" 1 39 "S"
"185" 1 "3a" "feminino" 4 22.025 "S"
"186" 0 "1a" "masculino" NA 50 "S"
"187" 1 "3a" "feminino" NA 15.5 "Q"
"188" 1 "1a" "masculino" 45 26.55 "S"
"189" 0 "3a" "masculino" 40 15.5 "Q"
"190" 0 "3a" "masculino" 36 7.8958 "S"
"191" 1 "2a" "feminino" 32 13 "S"
"192" 0 "2a" "masculino" 19 13 "S"
"193" 1 "3a" "feminino" 19 7.8542 "S"
"194" 1 "2a" "masculino" 3 26 "S"
"195" 1 "1a" "feminino" 44 27.7208 "C"
"196" 1 "1a" "feminino" 58 146.5208 "C"
"197" 0 "3a" "masculino" NA 7.75 "Q"
"198" 0 "3a" "masculino" 42 8.4042 "S"
"199" 1 "3a" "feminino" NA 7.75 "Q"
"200" 0 "2a" "feminino" 24 13 "S"
"201" 0 "3a" "masculino" 28 9.5 "S"
"202" 0 "3a" "masculino" NA 69.55 "S"
"203" 0 "3a" "masculino" 34 6.4958 "S"
"204" 0 "3a" "masculino" 45 7.225 "C"
"205" 1 "3a" "masculino" 18 8.05 "S"
"206" 0 "3a" "feminino" 2 10.4625 "S"
"207" 0 "3a" "masculino" 32 15.85 "S"
"208" 1 "3a" "masculino" 26 18.7875 "C"
"209" 1 "3a" "feminino" 16 7.75 "Q"
"210" 1 "1a" "masculino" 40 31 "C"
"211" 0 "3a" "masculino" 24 7.05 "S"
"212" 1 "2a" "feminino" 35 21 "S"
"213" 0 "3a" "masculino" 22 7.25 "S"
"214" 0 "2a" "masculino" 30 13 "S"
"215" 0 "3a" "masculino" NA 7.75 "Q"
"216" 1 "1a" "feminino" 31 113.275 "C"
"217" 1 "3a" "feminino" 27 7.925 "S"
"218" 0 "2a" "masculino" 42 27 "S"
"219" 1 "1a" "feminino" 32 76.2917 "C"
"220" 0 "2a" "masculino" 30 10.5 "S"
"221" 1 "3a" "masculino" 16 8.05 "S"
"222" 0 "2a" "masculino" 27 13 "S"
"223" 0 "3a" "masculino" 51 8.05 "S"
"224" 0 "3a" "masculino" NA 7.8958 "S"
"225" 1 "1a" "masculino" 38 90 "S"
"226" 0 "3a" "masculino" 22 9.35 "S"
"227" 1 "2a" "masculino" 19 10.5 "S"
"228" 0 "3a" "masculino" 20 7.25 "S"
"229" 0 "2a" "masculino" 18 13 "S"
"230" 0 "3a" "feminino" NA 25.4667 "S"
"231" 1 "1a" "feminino" 35 83.475 "S"
"232" 0 "3a" "masculino" 29 7.775 "S"
"233" 0 "2a" "masculino" 59 13.5 "S"
"234" 1 "3a" "feminino" 5 31.3875 "S"
"235" 0 "2a" "masculino" 24 10.5 "S"
"236" 0 "3a" "feminino" NA 7.55 "S"
"237" 0 "2a" "masculino" 44 26 "S"
"238" 1 "2a" "feminino" 8 26.25 "S"
"239" 0 "2a" "masculino" 19 10.5 "S"
"240" 0 "2a" "masculino" 33 12.275 "S"
"241" 0 "3a" "feminino" NA 14.4542 "C"
"242" 1 "3a" "feminino" NA 15.5 "Q"
"243" 0 "2a" "masculino" 29 10.5 "S"
"244" 0 "3a" "masculino" 22 7.125 "S"
"245" 0 "3a" "masculino" 30 7.225 "C"
"246" 0 "1a" "masculino" 44 90 "Q"
"247" 0 "3a" "feminino" 25 7.775 "S"
"248" 1 "2a" "feminino" 24 14.5 "S"
"249" 1 "1a" "masculino" 37 52.5542 "S"
"250" 0 "2a" "masculino" 54 26 "S"
"251" 0 "3a" "masculino" NA 7.25 "S"
"252" 0 "3a" "feminino" 29 10.4625 "S"
"253" 0 "1a" "masculino" 62 26.55 "S"
"254" 0 "3a" "masculino" 30 16.1 "S"
"255" 0 "3a" "feminino" 41 20.2125 "S"
"256" 1 "3a" "feminino" 29 15.2458 "C"
"257" 1 "1a" "feminino" NA 79.2 "C"
"258" 1 "1a" "feminino" 30 86.5 "S"
"259" 1 "1a" "feminino" 35 512.3292 "C"
"260" 1 "2a" "feminino" 50 26 "S"
"261" 0 "3a" "masculino" NA 7.75 "Q"
"262" 1 "3a" "masculino" 3 31.3875 "S"
"263" 0 "1a" "masculino" 52 79.65 "S"
"264" 0 "1a" "masculino" 40 0 "S"
"265" 0 "3a" "feminino" NA 7.75 "Q"
"266" 0 "2a" "masculino" 36 10.5 "S"
"267" 0 "3a" "masculino" 16 39.6875 "S"
"268" 1 "3a" "masculino" 25 7.775 "S"
"269" 1 "1a" "feminino" 58 153.4625 "S"
"270" 1 "1a" "feminino" 35 135.6333 "S"
"271" 0 "1a" "masculino" NA 31 "S"
"272" 1 "3a" "masculino" 25 0 "S"
"273" 1 "2a" "feminino" 41 19.5 "S"
"274" 0 "1a" "masculino" 37 29.7 "C"
"275" 1 "3a" "feminino" NA 7.75 "Q"
"276" 1 "1a" "feminino" 63 77.9583 "S"
"277" 0 "3a" "feminino" 45 7.75 "S"
"278" 0 "2a" "masculino" NA 0 "S"
"279" 0 "3a" "masculino" 7 29.125 "Q"
"280" 1 "3a" "feminino" 35 20.25 "S"
"281" 0 "3a" "masculino" 65 7.75 "Q"
"282" 0 "3a" "masculino" 28 7.8542 "S"
"283" 0 "3a" "masculino" 16 9.5 "S"
"284" 1 "3a" "masculino" 19 8.05 "S"
"285" 0 "1a" "masculino" NA 26 "S"
"286" 0 "3a" "masculino" 33 8.6625 "C"
"287" 1 "3a" "masculino" 30 9.5 "S"
"288" 0 "3a" "masculino" 22 7.8958 "S"
"289" 1 "2a" "masculino" 42 13 "S"
"290" 1 "3a" "feminino" 22 7.75 "Q"
"291" 1 "1a" "feminino" 26 78.85 "S"
"292" 1 "1a" "feminino" 19 91.0792 "C"
"293" 0 "2a" "masculino" 36 12.875 "C"
"294" 0 "3a" "feminino" 24 8.85 "S"
"295" 0 "3a" "masculino" 24 7.8958 "S"
"296" 0 "1a" "masculino" NA 27.7208 "C"
"297" 0 "3a" "masculino" 23 7.2292 "C"
"298" 0 "1a" "feminino" 2 151.55 "S"
"299" 1 "1a" "masculino" NA 30.5 "S"
"300" 1 "1a" "feminino" 50 247.5208 "C"
"301" 1 "3a" "feminino" NA 7.75 "Q"
"302" 1 "3a" "masculino" NA 23.25 "Q"
"303" 0 "3a" "masculino" 19 0 "S"
"304" 1 "2a" "feminino" NA 12.35 "Q"
"305" 0 "3a" "masculino" NA 8.05 "S"
"306" 1 "1a" "masculino" 0 151.55 "S"
"307" 1 "1a" "feminino" NA 110.8833 "C"
"308" 1 "1a" "feminino" 17 108.9 "C"
"309" 0 "2a" "masculino" 30 24 "C"
"310" 1 "1a" "feminino" 30 56.9292 "C"
"311" 1 "1a" "feminino" 24 83.1583 "C"
"312" 1 "1a" "feminino" 18 262.375 "C"
"313" 0 "2a" "feminino" 26 26 "S"
"314" 0 "3a" "masculino" 28 7.8958 "S"
"315" 0 "2a" "masculino" 43 26.25 "S"
"316" 1 "3a" "feminino" 26 7.8542 "S"
"317" 1 "2a" "feminino" 24 26 "S"
"318" 0 "2a" "masculino" 54 14 "S"
"319" 1 "1a" "feminino" 31 164.8667 "S"
"320" 1 "1a" "feminino" 40 134.5 "C"
"321" 0 "3a" "masculino" 22 7.25 "S"
"322" 0 "3a" "masculino" 27 7.8958 "S"
"323" 1 "2a" "feminino" 30 12.35 "Q"
"324" 1 "2a" "feminino" 22 29 "S"
"325" 0 "3a" "masculino" NA 69.55 "S"
"326" 1 "1a" "feminino" 36 135.6333 "C"
"327" 0 "3a" "masculino" 61 6.2375 "S"
"328" 1 "2a" "feminino" 36 13 "S"
"329" 1 "3a" "feminino" 31 20.525 "S"
"330" 1 "1a" "feminino" 16 57.9792 "C"
"331" 1 "3a" "feminino" NA 23.25 "Q"
"332" 0 "1a" "masculino" 45 28.5 "S"
"333" 0 "1a" "masculino" 38 153.4625 "S"
"334" 0 "3a" "masculino" 16 18 "S"
"335" 1 "1a" "feminino" NA 133.65 "S"
"336" 0 "3a" "masculino" NA 7.8958 "S"
"337" 0 "1a" "masculino" 29 66.6 "S"
"338" 1 "1a" "feminino" 41 134.5 "C"
"339" 1 "3a" "masculino" 45 8.05 "S"
"340" 0 "1a" "masculino" 45 35.5 "S"
"341" 1 "2a" "masculino" 2 26 "S"
"342" 1 "1a" "feminino" 24 263 "S"
"343" 0 "2a" "masculino" 28 13 "S"
"344" 0 "2a" "masculino" 25 13 "S"
"345" 0 "2a" "masculino" 36 13 "S"
"346" 1 "2a" "feminino" 24 13 "S"
"347" 1 "2a" "feminino" 40 13 "S"
"348" 1 "3a" "feminino" NA 16.1 "S"
"349" 1 "3a" "masculino" 3 15.9 "S"
"350" 0 "3a" "masculino" 42 8.6625 "S"
"351" 0 "3a" "masculino" 23 9.225 "S"
"352" 0 "1a" "masculino" NA 35 "S"
"353" 0 "3a" "masculino" 15 7.2292 "C"
"354" 0 "3a" "masculino" 25 17.8 "S"
"355" 0 "3a" "masculino" NA 7.225 "C"
"356" 0 "3a" "masculino" 28 9.5 "S"
"357" 1 "1a" "feminino" 22 55 "S"
"358" 0 "2a" "feminino" 38 13 "S"
"359" 1 "3a" "feminino" NA 7.8792 "Q"
"360" 1 "3a" "feminino" NA 7.8792 "Q"
"361" 0 "3a" "masculino" 40 27.9 "S"
"362" 0 "2a" "masculino" 29 27.7208 "C"
"363" 0 "3a" "feminino" 45 14.4542 "C"
"364" 0 "3a" "masculino" 35 7.05 "S"
"365" 0 "3a" "masculino" NA 15.5 "Q"
"366" 0 "3a" "masculino" 30 7.25 "S"
"367" 1 "1a" "feminino" 60 75.25 "C"
"368" 1 "3a" "feminino" NA 7.2292 "C"
"369" 1 "3a" "feminino" NA 7.75 "Q"
"370" 1 "1a" "feminino" 24 69.3 "C"
"371" 1 "1a" "masculino" 25 55.4417 "C"
"372" 0 "3a" "masculino" 18 6.4958 "S"
"373" 0 "3a" "masculino" 19 8.05 "S"
"374" 0 "1a" "masculino" 22 135.6333 "C"
"375" 0 "3a" "feminino" 3 21.075 "S"
"376" 1 "1a" "feminino" NA 82.1708 "C"
"377" 1 "3a" "feminino" 22 7.25 "S"
"378" 0 "1a" "masculino" 27 211.5 "C"
"379" 0 "3a" "masculino" 20 4.0125 "C"
"380" 0 "3a" "masculino" 19 7.775 "S"
"381" 1 "1a" "feminino" 42 227.525 "C"
"382" 1 "3a" "feminino" 1 15.7417 "C"
"383" 0 "3a" "masculino" 32 7.925 "S"
"384" 1 "1a" "feminino" 35 52 "S"
"385" 0 "3a" "masculino" NA 7.8958 "S"
"386" 0 "2a" "masculino" 18 73.5 "S"
"387" 0 "3a" "masculino" 1 46.9 "S"
"388" 1 "2a" "feminino" 36 13 "S"
"389" 0 "3a" "masculino" NA 7.7292 "Q"
"390" 1 "2a" "feminino" 17 12 "C"
"391" 1 "1a" "masculino" 36 120 "S"
"392" 1 "3a" "masculino" 21 7.7958 "S"
"393" 0 "3a" "masculino" 28 7.925 "S"
"394" 1 "1a" "feminino" 23 113.275 "C"
"395" 1 "3a" "feminino" 24 16.7 "S"
"396" 0 "3a" "masculino" 22 7.7958 "S"
"397" 0 "3a" "feminino" 31 7.8542 "S"
"398" 0 "2a" "masculino" 46 26 "S"
"399" 0 "2a" "masculino" 23 10.5 "S"
"400" 1 "2a" "feminino" 28 12.65 "S"
"401" 1 "3a" "masculino" 39 7.925 "S"
"402" 0 "3a" "masculino" 26 8.05 "S"
"403" 0 "3a" "feminino" 21 9.825 "S"
"404" 0 "3a" "masculino" 28 15.85 "S"
"405" 0 "3a" "feminino" 20 8.6625 "S"
"406" 0 "2a" "masculino" 34 21 "S"
"407" 0 "3a" "masculino" 51 7.75 "S"
"408" 1 "2a" "masculino" 3 18.75 "S"
"409" 0 "3a" "masculino" 21 7.775 "S"
"410" 0 "3a" "feminino" NA 25.4667 "S"
"411" 0 "3a" "masculino" NA 7.8958 "S"
"412" 0 "3a" "masculino" NA 6.8583 "Q"
"413" 1 "1a" "feminino" 33 90 "Q"
"414" 0 "2a" "masculino" NA 0 "S"
"415" 1 "3a" "masculino" 44 7.925 "S"
"416" 0 "3a" "feminino" NA 8.05 "S"
"417" 1 "2a" "feminino" 34 32.5 "S"
"418" 1 "2a" "feminino" 18 13 "S"
"419" 0 "2a" "masculino" 30 13 "S"
"420" 0 "3a" "feminino" 10 24.15 "S"
"421" 0 "3a" "masculino" NA 7.8958 "C"
"422" 0 "3a" "masculino" 21 7.7333 "Q"
"423" 0 "3a" "masculino" 29 7.875 "S"
"424" 0 "3a" "feminino" 28 14.4 "S"
"425" 0 "3a" "masculino" 18 20.2125 "S"
"426" 0 "3a" "masculino" NA 7.25 "S"
"427" 1 "2a" "feminino" 28 26 "S"
"428" 1 "2a" "feminino" 19 26 "S"
"429" 0 "3a" "masculino" NA 7.75 "Q"
"430" 1 "3a" "masculino" 32 8.05 "S"
"431" 1 "1a" "masculino" 28 26.55 "S"
"432" 1 "3a" "feminino" NA 16.1 "S"
"433" 1 "2a" "feminino" 42 26 "S"
"434" 0 "3a" "masculino" 17 7.125 "S"
"435" 0 "1a" "masculino" 50 55.9 "S"
"436" 1 "1a" "feminino" 14 120 "S"
"437" 0 "3a" "feminino" 21 34.375 "S"
"438" 1 "2a" "feminino" 24 18.75 "S"
"439" 0 "1a" "masculino" 64 263 "S"
"440" 0 "2a" "masculino" 31 10.5 "S"
"441" 1 "2a" "feminino" 45 26.25 "S"
"442" 0 "3a" "masculino" 20 9.5 "S"
"443" 0 "3a" "masculino" 25 7.775 "S"
"444" 1 "2a" "feminino" 28 13 "S"
"445" 1 "3a" "masculino" NA 8.1125 "S"
"446" 1 "1a" "masculino" 4 81.8583 "S"
"447" 1 "2a" "feminino" 13 19.5 "S"
"448" 1 "1a" "masculino" 34 26.55 "S"
"449" 1 "3a" "feminino" 5 19.2583 "C"
"450" 1 "1a" "masculino" 52 30.5 "S"
"451" 0 "2a" "masculino" 36 27.75 "S"
"452" 0 "3a" "masculino" NA 19.9667 "S"
"453" 0 "1a" "masculino" 30 27.75 "C"
"454" 1 "1a" "masculino" 49 89.1042 "C"
"455" 0 "3a" "masculino" NA 8.05 "S"
"456" 1 "3a" "masculino" 29 7.8958 "C"
"457" 0 "1a" "masculino" 65 26.55 "S"
"458" 1 "1a" "feminino" NA 51.8625 "S"
"459" 1 "2a" "feminino" 50 10.5 "S"
"460" 0 "3a" "masculino" NA 7.75 "Q"
"461" 1 "1a" "masculino" 48 26.55 "S"
"462" 0 "3a" "masculino" 34 8.05 "S"
"463" 0 "1a" "masculino" 47 38.5 "S"
"464" 0 "2a" "masculino" 48 13 "S"
"465" 0 "3a" "masculino" NA 8.05 "S"
"466" 0 "3a" "masculino" 38 7.05 "S"
"467" 0 "2a" "masculino" NA 0 "S"
"468" 0 "1a" "masculino" 56 26.55 "S"
"469" 0 "3a" "masculino" NA 7.725 "Q"
"470" 1 "3a" "feminino" 0 19.2583 "C"
"471" 0 "3a" "masculino" NA 7.25 "S"
"472" 0 "3a" "masculino" 38 8.6625 "S"
"473" 1 "2a" "feminino" 33 27.75 "S"
"474" 1 "2a" "feminino" 23 13.7917 "C"
"475" 0 "3a" "feminino" 22 9.8375 "S"
"476" 0 "1a" "masculino" NA 52 "S"
"477" 0 "2a" "masculino" 34 21 "S"
"478" 0 "3a" "masculino" 29 7.0458 "S"
"479" 0 "3a" "masculino" 22 7.5208 "S"
"480" 1 "3a" "feminino" 2 12.2875 "S"
"481" 0 "3a" "masculino" 9 46.9 "S"
"482" 0 "2a" "masculino" NA 0 "S"
"483" 0 "3a" "masculino" 50 8.05 "S"
"484" 1 "3a" "feminino" 63 9.5875 "S"
"485" 1 "1a" "masculino" 25 91.0792 "C"
"486" 0 "3a" "feminino" NA 25.4667 "S"
"487" 1 "1a" "feminino" 35 90 "S"
"488" 0 "1a" "masculino" 58 29.7 "C"
"489" 0 "3a" "masculino" 30 8.05 "S"
"490" 1 "3a" "masculino" 9 15.9 "S"
"491" 0 "3a" "masculino" NA 19.9667 "S"
"492" 0 "3a" "masculino" 21 7.25 "S"
"493" 0 "1a" "masculino" 55 30.5 "S"
"494" 0 "1a" "masculino" 71 49.5042 "C"
"495" 0 "3a" "masculino" 21 8.05 "S"
"496" 0 "3a" "masculino" NA 14.4583 "C"
"497" 1 "1a" "feminino" 54 78.2667 "C"
"498" 0 "3a" "masculino" NA 15.1 "S"
"499" 0 "1a" "feminino" 25 151.55 "S"
"500" 0 "3a" "masculino" 24 7.7958 "S"
"501" 0 "3a" "masculino" 17 8.6625 "S"
"502" 0 "3a" "feminino" 21 7.75 "Q"
"503" 0 "3a" "feminino" NA 7.6292 "Q"
"504" 0 "3a" "feminino" 37 9.5875 "S"
"505" 1 "1a" "feminino" 16 86.5 "S"
"506" 0 "1a" "masculino" 18 108.9 "C"
"507" 1 "2a" "feminino" 33 26 "S"
"508" 1 "1a" "masculino" NA 26.55 "S"
"509" 0 "3a" "masculino" 28 22.525 "S"
"510" 1 "3a" "masculino" 26 56.4958 "S"
"511" 1 "3a" "masculino" 29 7.75 "Q"
"512" 0 "3a" "masculino" NA 8.05 "S"
"513" 1 "1a" "masculino" 36 26.2875 "S"
"514" 1 "1a" "feminino" 54 59.4 "C"
"515" 0 "3a" "masculino" 24 7.4958 "S"
"516" 0 "1a" "masculino" 47 34.0208 "S"
"517" 1 "2a" "feminino" 34 10.5 "S"
"518" 0 "3a" "masculino" NA 24.15 "Q"
"519" 1 "2a" "feminino" 36 26 "S"
"520" 0 "3a" "masculino" 32 7.8958 "S"
"521" 1 "1a" "feminino" 30 93.5 "S"
"522" 0 "3a" "masculino" 22 7.8958 "S"
"523" 0 "3a" "masculino" NA 7.225 "C"
"524" 1 "1a" "feminino" 44 57.9792 "C"
"525" 0 "3a" "masculino" NA 7.2292 "C"
"526" 0 "3a" "masculino" 40 7.75 "Q"
"527" 1 "2a" "feminino" 50 10.5 "S"
"528" 0 "1a" "masculino" NA 221.7792 "S"
"529" 0 "3a" "masculino" 39 7.925 "S"
"530" 0 "2a" "masculino" 23 11.5 "S"
"531" 1 "2a" "feminino" 2 26 "S"
"532" 0 "3a" "masculino" NA 7.2292 "C"
"533" 0 "3a" "masculino" 17 7.2292 "C"
"534" 1 "3a" "feminino" NA 22.3583 "C"
